省份,专区数量,累计收益,累计成本,成本率
湖北,21,1351108.0,284149.98,21.030885761908003
新疆,15,1300710.0,285636.11,21.960014914931076
河南,28,975792.0,279808.33,28.674997335497732
山东,20,226144.71,150528.05,66.56271110652997
内蒙古,13,116240.0,209040.15,179.8349535443909
辽宁,6,87410.0,115006.78,131.5716508408649
河北,4,36042.0,125127.07,347.17016258809167
天津,1,29500.0,7264.47,24.625322033898307
北京,1,20585.0,1995.68,9.694826329851834
吉林,1,1700.0,29943.75,1761.3970588235293
