合同号,专区码,专区名称, 专区名称（旧）,客户类型,省份（已按新组织调整）,省份,地市,所属平台,项目经理,远程交付,商务,开发,专区接入时间,计入时间至今,专区上线时间,上线至今,专区状态,专区地址,近期交易,今日开标,投入,e交易26年3月_当月收益,e交易26年3月_当月收益同比,e交易26年3月_当月收益环比,e交易26年_26年总收益,e交易25年_25年总收益,e交易总收益_总收益,e交易总收益_总项目数,总人工成本,上线前人工成本
C2021010146,DQ_HuaSha,华厦专区,,企业,交易南京分公司,江苏省,南京市,新点电子交易平台（7.0）,邵积萍,邵积萍,杨涛（交易云服务华东分公司）,张渝、陈章,2018-07-01,,2019-09-01 00:00:00,,上线有量,http://huaxia.etrading.cn,0,0.0,0.0,0.0,,,0.0,4800.0,260845.0,1085,0.0,0.0
C2022040002,DQ_XuanCheng,宣城专区,,政府,交易合肥分公司,安徽省,宣城市,新点电子交易平台（7.0）,黄路琦,,陈伟（交易云服务华南分公司）,王寅迟、陈强,2018-08-01,,2018-09-24 00:00:00,,上线有量,,,,4627.57,0.0,,,0.0,0.0,0.0,0,4627.57,0.0
C2021010174,DQ_LuAn,六安专区,,政府,交易合肥分公司,安徽省,六安市,新点电子交易平台（7.0）,,丁秀春,王静怡,王寅迟、陈强,2018-08-01,,2019-07-31 00:00:00,,上线有量,http://luan.etrading.cn,57,0.0,48995.39,45845.0,-38.95,1.42,147155.0,866130.0,2818195.0,5398,48995.39,0.0
C2021010137,DQ_DongHai,东海专区,,企业,交易南京分公司,江苏省,连云港市,江苏限额以下平台（7.0）,张海南,顾梦娇,杨涛,张渝、陈章,2018-08-01,,2018-09-01 00:00:00,,上线有量,,,,0.0,0.0,,,0.0,408950.0,1489537.5,555,0.0,0.0
C2022070038,DQ_XuanChengJianHua,宣城交易公司专区,,政府,交易合肥分公司,安徽省,宣城市,江苏限额以下平台（7.0）,黄路琦,,陈伟（交易云服务华南分公司）,王寅迟、陈强,2018-08-13,,2018-09-23 00:00:00,,上线有量,,,,12979.16,0.0,,,0.0,210518.0,1204784.0,1153,12979.16,0.0
